,OBJECTID,equipamien,x,y,identifica,codvia,numportal,telefono,geo_shape,geo_point_2d,grupo,geo_shape_2d,icono
90,23745,FEDERACIÓN DE ASOCIACIONES POR LA INTEGRACIÓN DEL SORDO EN LA COMUNIDAD VALENCIANA - HELIX,725388.057,4372172.52,5416,8790,48,635457349.0,"{""coordinates"": [-0.3798856164450737, 39.46964198646017], ""type"": ""Point""}","39.46964198646017, -0.3798856164450737","['disc', 'disc_sensorial', 'toda_poblacion']","[39.46964198646017, -0.3798856164450737]",user-injured
91,23810,CENTRO DE ATENCIÓN TEMPRANA PRADER WILLI,723509.127,4370246.823,9567,81172,25,963573371.0,"{""coordinates"": [-0.402351724227147, 39.45279803044688], ""type"": ""Point""}","39.45279803044688, -0.402351724227147",disc,"[39.45279803044688, -0.402351724227147]",user-injured
92,23928,ASOCIACIÓN LESIONADOS MEDULARES Y GRANDES MINUSVÁLIDOS - ASPAYM - CV,727048.805,4373776.567,486,31680,19,963664902.0,"{""coordinates"": [-0.3600526499743638, 39.483643623060225], ""type"": ""Point""}","39.483643623060225, -0.3600526499743638","['disc', 'disc_fisica']","[39.483643623060225, -0.3600526499743638]",user-injured
93,23930,COORDINADORA DE PERSONAS CON DISCAPACIDAD FÍSICA  DE VALENCIA  - CODIFIVA,725120.609,4372678.716,3381,56130,3,963310854.0,"{""coordinates"": [-0.38282080590787493, 39.47426834685133], ""type"": ""Point""}","39.47426834685133, -0.38282080590787493","['disc', 'disc_fisica']","[39.47426834685133, -0.38282080590787493]",user-injured
94,23960,CENTRO SOCIAL SENABRE,724649.751,4370323.765,3486,43290,30,963570859.0,"{""coordinates"": [-0.3890822466170426, 39.45319385830225], ""type"": ""Point""}","39.45319385830225, -0.3890822466170426","['disc', 'mayores', 'toda_poblacion']","[39.45319385830225, -0.3890822466170426]",user-injured
95,24029,AVAPACE.CENTRO DE ATENCIÓN TEMPRANA XICOTETS,728828.79,4372610.07,9542,81343,S/N,963611263.0,"{""coordinates"": [-0.3397774096408712, 39.472672544380586], ""type"": ""Point""}","39.472672544380586, -0.3397774096408712","['disc', 'disc_intelectual']","[39.472672544380586, -0.3397774096408712]",user-injured
96,24030,ORGANIZACIÓN IMPULSADORA DE DISCAPACITADOS - OID,728889.753,4371110.071,5417,40230,5,963305756.0,"{""coordinates"": [-0.3395839750470245, 39.45915500761955], ""type"": ""Point""}","39.45915500761955, -0.3395839750470245",disc,"[39.45915500761955, -0.3395839750470245]",user-injured
97,24240,FEAPS CV. FEDERACIÓN DE ASOCIACIONES EN FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL DE LA COMUNIDAD VALENCIANA,725177.432,4372875.357,9615,62010,29,963923733.0,"{""coordinates"": [-0.3820944593750093, 39.47602348548953], ""type"": ""Point""}","39.47602348548953, -0.3820944593750093","['disc', 'disc_intelectual']","[39.47602348548953, -0.3820944593750093]",user-injured
98,24249,FEDERACIÓN DE ASOCIACIONES DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA DE LA PROVINCIA DE VALÈNCIA - COCEMFE VALÈNCIA,723630.12,4372344.816,5397,52320,12,963837708.0,"{""coordinates"": [-0.40024390628489753, 39.47165138559136], ""type"": ""Point""}","39.47165138559136, -0.40024390628489753","['disc', 'disc_fisica']","[39.47165138559136, -0.40024390628489753]",user-injured
99,24277,FUNDACIÓN CEDAT,728011.06,4373561.84,5414,75150,S/N,963877036.0,"{""coordinates"": [-0.34894896318736224, 39.48145642572895], ""type"": ""Point""}","39.48145642572895, -0.34894896318736224",disc,"[39.48145642572895, -0.34894896318736224]",user-injured
